tax_id,parent_id,rank,tax_name,root,kingdom,phylum,class,order,family,genus,species
f__Endozoicimonaceae,o__Oceanospirillales,family,f__Endozoicimonaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicimonaceae,,
g__Endozoicomonas,f__Endozoicimonaceae,genus,g__Endozoicomonas,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicimonaceae,g__Endozoicomonas,
s__montiporae,g__Endozoicomonas,species,s__montiporae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Oceanospirillales,f__Endozoicimonaceae,g__Endozoicomonas,s__montiporae
p__Caldithrix,k__Bacteria,phylum,p__Caldithrix,Root,k__Bacteria,p__Caldithrix,,,,,
c__Caldithrixae,p__Caldithrix,class,c__Caldithrixae,Root,k__Bacteria,p__Caldithrix,c__Caldithrixae,,,,
o__Caldithrixales,c__Caldithrixae,order,o__Caldithrixales,Root,k__Bacteria,p__Caldithrix,c__Caldithrixae,o__Caldithrixales,,,
f__Caldithrixaceae,o__Caldithrixales,family,f__Caldithrixaceae,Root,k__Bacteria,p__Caldithrix,c__Caldithrixae,o__Caldithrixales,f__Caldithrixaceae,,
g__LCP-26,f__Caldithrixaceae,genus,g__LCP-26,Root,k__Bacteria,p__Caldithrix,c__Caldithrixae,o__Caldithrixales,f__Caldithrixaceae,g__LCP-26,
p__Chloroflexi,k__Bacteria,phylum,p__Chloroflexi,Root,k__Bacteria,p__Chloroflexi,,,,,
c__Ellin6529,p__Chloroflexi,class,c__Ellin6529,Root,k__Bacteria,p__Chloroflexi,c__Ellin6529,,,,
p__KSB3,k__Bacteria,phylum,p__KSB3,Root,k__Bacteria,p__KSB3,,,,,
o__Alteromonadales,c__Gammaproteobacteria,order,o__Alteromonadales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,,,
f__HTCC2188,o__Alteromonadales,family,f__HTCC2188,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__HTCC2188,,
p__Actinobacteria,k__Bacteria,phylum,p__Actinobacteria,Root,k__Bacteria,p__Actinobacteria,,,,,
c__Acidimicrobiia,p__Actinobacteria,class,c__Acidimicrobiia,Root,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,,,,
o__Acidimicrobiales,c__Acidimicrobiia,order,o__Acidimicrobiales,Root,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,,,
o__Burkholderiales,c__Betaproteobacteria,order,o__Burkholderiales,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,,,
f__Comamonadaceae,o__Burkholderiales,family,f__Comamonadaceae,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,
g__Limnobacter,f__Comamonadaceae,genus,g__Limnobacter,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Limnobacter,
c__Epsilonproteobacteria,p__Proteobacteria,class,c__Epsilonproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,,,,
o__Campylobacterales,c__Epsilonproteobacteria,order,o__Campylobacterales,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,,,
f__Helicobacteraceae,o__Campylobacterales,family,f__Helicobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,,
o__MBA08,c__Clostridia,order,o__MBA08,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__MBA08,,,
p__Acidobacteria,k__Bacteria,phylum,p__Acidobacteria,Root,k__Bacteria,p__Acidobacteria,,,,,
c__Holophagae,p__Acidobacteria,class,c__Holophagae,Root,k__Bacteria,p__Acidobacteria,c__Holophagae,,,,
o__Holophagales,c__Holophagae,order,o__Holophagales,Root,k__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,,,
f__Holophagaceae,o__Holophagales,family,f__Holophagaceae,Root,k__Bacteria,p__Acidobacteria,c__Holophagae,o__Holophagales,f__Holophagaceae,,
f__Lachnospiraceae,o__Clostridiales,family,f__Lachnospiraceae,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,,
g__Butyrivibrio,f__Lachnospiraceae,genus,g__Butyrivibrio,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Butyrivibrio,
c__Alphaproteobacteria,p__Proteobacteria,class,c__Alphaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,
o__Rhizobiales,c__Alphaproteobacteria,order,o__Rhizobiales,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,,,
f__Hyphomicrobiaceae,o__Rhizobiales,family,f__Hyphomicrobiaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,,
g__Hyphomicrobium,f__Hyphomicrobiaceae,genus,g__Hyphomicrobium,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,
p__Bacteroidetes,k__Bacteria,phylum,p__Bacteroidetes,Root,k__Bacteria,p__Bacteroidetes,,,,,
c__At12OctB3,p__Bacteroidetes,class,c__At12OctB3,Root,k__Bacteria,p__Bacteroidetes,c__At12OctB3,,,,
c__Bacteroidia,p__Bacteroidetes,class,c__Bacteroidia,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,,,,
o__Bacteroidales,c__Bacteroidia,order,o__Bacteroidales,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,,,
g__Roseburia,f__Lachnospiraceae,genus,g__Roseburia,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Roseburia,
p__Cyanobacteria,k__Bacteria,phylum,p__Cyanobacteria,Root,k__Bacteria,p__Cyanobacteria,,,,,
c__Oscillatoriophycideae,p__Cyanobacteria,class,c__Oscillatoriophycideae,Root,k__Bacteria,p__Cyanobacteria,c__Oscillatoriophycideae,,,,
o__Chroococcales,c__Oscillatoriophycideae,order,o__Chroococcales,Root,k__Bacteria,p__Cyanobacteria,c__Oscillatoriophycideae,o__Chroococcales,,,
f__Xenococcaceae,o__Chroococcales,family,f__Xenococcaceae,Root,k__Bacteria,p__Cyanobacteria,c__Oscillatoriophycideae,o__Chroococcales,f__Xenococcaceae,,
g__Chroococcidiopsis,f__Xenococcaceae,genus,g__Chroococcidiopsis,Root,k__Bacteria,p__Cyanobacteria,c__Oscillatoriophycideae,o__Chroococcales,f__Xenococcaceae,g__Chroococcidiopsis,
c__Flavobacteriia,p__Bacteroidetes,class,c__Flavobacteriia,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,,,,
o__Flavobacteriales,c__Flavobacteriia,order,o__Flavobacteriales,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,,,
f__Cryomorphaceae,o__Flavobacteriales,family,f__Cryomorphaceae,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Cryomorphaceae,,
p__Planctomycetes,k__Bacteria,phylum,p__Planctomycetes,Root,k__Bacteria,p__Planctomycetes,,,,,
c__Planctomycetia,p__Planctomycetes,class,c__Planctomycetia,Root,k__Bacteria,p__Planctomycetes,c__Planctomycetia,,,,
o__Gemmatales,c__Planctomycetia,order,o__Gemmatales,Root,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,,,
f__Gemmataceae,o__Gemmatales,family,f__Gemmataceae,Root,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,,
f__Prevotellaceae,o__Bacteroidales,family,f__Prevotellaceae,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,,
g__Prevotella,f__Prevotellaceae,genus,g__Prevotella,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,
k__Archaea,Root,kingdom,k__Archaea,Root,k__Archaea,,,,,,
p__Crenarchaeota,k__Archaea,phylum,p__Crenarchaeota,Root,k__Archaea,p__Crenarchaeota,,,,,
c__MBGB,p__Crenarchaeota,class,c__MBGB,Root,k__Archaea,p__Crenarchaeota,c__MBGB,,,,
o__Oscillatoriales,c__Oscillatoriophycideae,order,o__Oscillatoriales,Root,k__Bacteria,p__Cyanobacteria,c__Oscillatoriophycideae,o__Oscillatoriales,,,
f__Phormidiaceae,o__Oscillatoriales,family,f__Phormidiaceae,Root,k__Bacteria,p__Cyanobacteria,c__Oscillatoriophycideae,o__Oscillatoriales,f__Phormidiaceae,,
g__Phormidium,f__Phormidiaceae,genus,g__Phormidium,Root,k__Bacteria,p__Cyanobacteria,c__Oscillatoriophycideae,o__Oscillatoriales,f__Phormidiaceae,g__Phormidium,
c__Thermoleophilia,p__Actinobacteria,class,c__Thermoleophilia,Root,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,,,,
o__Gaiellales,c__Thermoleophilia,order,o__Gaiellales,Root,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,,,
f__Gaiellaceae,o__Gaiellales,family,f__Gaiellaceae,Root,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,,
o__Rhodospirillales,c__Alphaproteobacteria,order,o__Rhodospirillales,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,,,
f__Rhodospirillaceae,o__Rhodospirillales,family,f__Rhodospirillaceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,,
g__Methylibium,f__Comamonadaceae,genus,g__Methylibium,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Methylibium,
c__Phycisphaerae,p__Planctomycetes,class,c__Phycisphaerae,Root,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,,,,
o__AKAU3564,c__Phycisphaerae,order,o__AKAU3564,Root,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__AKAU3564,,,
p__BRC1,k__Bacteria,phylum,p__BRC1,Root,k__Bacteria,p__BRC1,,,,,
c__NPL-UPA2,p__BRC1,class,c__NPL-UPA2,Root,k__Bacteria,p__BRC1,c__NPL-UPA2,,,,
c__Deltaproteobacteria,p__Proteobacteria,class,c__Deltaproteobacteria,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,,,,
o__Syntrophobacterales,c__Deltaproteobacteria,order,o__Syntrophobacterales,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,,,
f__Syntrophobacteraceae,o__Syntrophobacterales,family,f__Syntrophobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,,
f__S24-7,o__Bacteroidales,family,f__S24-7,Root,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__S24-7,,
c__Bacilli,p__Firmicutes,class,c__Bacilli,Root,k__Bacteria,p__Firmicutes,c__Bacilli,,,,
o__Bacillales,c__Bacilli,order,o__Bacillales,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,,,
f__Paenibacillaceae,o__Bacillales,family,f__Paenibacillaceae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,,
g__Paenibacillus,f__Paenibacillaceae,genus,g__Paenibacillus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,
s__chondroitinus,g__Paenibacillus,species,s__chondroitinus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__chondroitinus
o__Rhodobacterales,c__Alphaproteobacteria,order,o__Rhodobacterales,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,,,
f__Rhodobacteraceae,o__Rhodobacterales,family,f__Rhodobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,,
f__[Tissierellaceae],o__Clostridiales,family,f__[Tissierellaceae],Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],,
g__Tissierella_Soehngenia,f__[Tissierellaceae],genus,g__Tissierella_Soehngenia,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__[Tissierellaceae],g__Tissierella_Soehngenia,
p__OP3,k__Bacteria,phylum,p__OP3,Root,k__Bacteria,p__OP3,,,,,
c__PBS-25,p__OP3,class,c__PBS-25,Root,k__Bacteria,p__OP3,c__PBS-25,,,,
o__Gallionellales,c__Betaproteobacteria,order,o__Gallionellales,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Gallionellales,,,
f__Gallionellaceae,o__Gallionellales,family,f__Gallionellaceae,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Gallionellales,f__Gallionellaceae,,
g__Gallionella,f__Gallionellaceae,genus,g__Gallionella,Root,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Gallionellales,f__Gallionellaceae,g__Gallionella,
g__Sulfurimonas,f__Helicobacteraceae,genus,g__Sulfurimonas,Root,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Sulfurimonas,
o__Xanthomonadales,c__Gammaproteobacteria,order,o__Xanthomonadales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,,,
f__Xanthomonadaceae,o__Xanthomonadales,family,f__Xanthomonadaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,,
g__Dyella,f__Xanthomonadaceae,genus,g__Dyella,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Dyella,
c__Actinobacteria,p__Actinobacteria,class,c__Actinobacteria,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,,,,
o__Actinomycetales,c__Actinobacteria,order,o__Actinomycetales,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,,,
f__Corynebacteriaceae,o__Actinomycetales,family,f__Corynebacteriaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,,
g__Corynebacterium,f__Corynebacteriaceae,genus,g__Corynebacterium,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,
s__durum,g__Corynebacterium,species,s__durum,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__durum
c__Synechococcophycideae,p__Cyanobacteria,class,c__Synechococcophycideae,Root,k__Bacteria,p__Cyanobacteria,c__Synechococcophycideae,,,,
o__Pseudanabaenales,c__Synechococcophycideae,order,o__Pseudanabaenales,Root,k__Bacteria,p__Cyanobacteria,c__Synechococcophycideae,o__Pseudanabaenales,,,
f__Pseudanabaenaceae,o__Pseudanabaenales,family,f__Pseudanabaenaceae,Root,k__Bacteria,p__Cyanobacteria,c__Synechococcophycideae,o__Pseudanabaenales,f__Pseudanabaenaceae,,
g__Pseudanabaena,f__Pseudanabaenaceae,genus,g__Pseudanabaena,Root,k__Bacteria,p__Cyanobacteria,c__Synechococcophycideae,o__Pseudanabaenales,f__Pseudanabaenaceae,g__Pseudanabaena,
f__Flavobacteriaceae,o__Flavobacteriales,family,f__Flavobacteriaceae,Root,k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,,
p__Chlorobi,k__Bacteria,phylum,p__Chlorobi,Root,k__Bacteria,p__Chlorobi,,,,,
c__Chlorobia,p__Chlorobi,class,c__Chlorobia,Root,k__Bacteria,p__Chlorobi,c__Chlorobia,,,,
o__[Chloroherpetales],c__Chlorobia,order,o__[Chloroherpetales],Root,k__Bacteria,p__Chlorobi,c__Chlorobia,o__[Chloroherpetales],,,
f__SM1B02,o__[Chloroherpetales],family,f__SM1B02,Root,k__Bacteria,p__Chlorobi,c__Chlorobia,o__[Chloroherpetales],f__SM1B02,,
c__Cytophagia,p__Bacteroidetes,class,c__Cytophagia,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,,,,
o__Cytophagales,c__Cytophagia,order,o__Cytophagales,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,,,
f__Flammeovirgaceae,o__Cytophagales,family,f__Flammeovirgaceae,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Flammeovirgaceae,,
f__Cytophagaceae,o__Cytophagales,family,f__Cytophagaceae,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,,
g__Spirosoma,f__Cytophagaceae,genus,g__Spirosoma,Root,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Spirosoma,
g__[Ruminococcus],f__Lachnospiraceae,genus,g__[Ruminococcus],Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__[Ruminococcus],
s__gnavus,g__[Ruminococcus],species,s__gnavus,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__[Ruminococcus],s__gnavus
c__Sphingobacteriia,p__Bacteroidetes,class,c__Sphingobacteriia,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,,,,
o__Sphingobacteriales,c__Sphingobacteriia,order,o__Sphingobacteriales,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,,,
f__Sphingobacteriaceae,o__Sphingobacteriales,family,f__Sphingobacteriaceae,Root,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,,
p__Armatimonadetes,k__Bacteria,phylum,p__Armatimonadetes,Root,k__Bacteria,p__Armatimonadetes,,,,,
c__SJA-176,p__Armatimonadetes,class,c__SJA-176,Root,k__Bacteria,p__Armatimonadetes,c__SJA-176,,,,
o__GAB-B06,c__SJA-176,order,o__GAB-B06,Root,k__Bacteria,p__Armatimonadetes,c__SJA-176,o__GAB-B06,,,
c__Solibacteres,p__Acidobacteria,class,c__Solibacteres,Root,k__Bacteria,p__Acidobacteria,c__Solibacteres,,,,
o__Solibacterales,c__Solibacteres,order,o__Solibacterales,Root,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,,,
f__Solibacteraceae,o__Solibacterales,family,f__Solibacteraceae,Root,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,,
g__Candidatus_Solibacter,f__Solibacteraceae,genus,g__Candidatus_Solibacter,Root,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__Candidatus_Solibacter,
o__Lactobacillales,c__Bacilli,order,o__Lactobacillales,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,,,
f__Enterococcaceae,o__Lactobacillales,family,f__Enterococcaceae,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,,
g__Enterococcus,f__Enterococcaceae,genus,g__Enterococcus,Root,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,
f__Syntrophaceae,o__Syntrophobacterales,family,f__Syntrophaceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophaceae,,
g__Desulfomonile,f__Syntrophaceae,genus,g__Desulfomonile,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophaceae,g__Desulfomonile,
c__MCG,p__Crenarchaeota,class,c__MCG,Root,k__Archaea,p__Crenarchaeota,c__MCG,,,,
f__Thermomonosporaceae,o__Actinomycetales,family,f__Thermomonosporaceae,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Thermomonosporaceae,,
g__Actinomadura,f__Thermomonosporaceae,genus,g__Actinomadura,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Thermomonosporaceae,g__Actinomadura,
s__vinacea,g__Actinomadura,species,s__vinacea,Root,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Thermomonosporaceae,g__Actinomadura,s__vinacea
p__Euryarchaeota,k__Archaea,phylum,p__Euryarchaeota,Root,k__Archaea,p__Euryarchaeota,,,,,
c__Halobacteria,p__Euryarchaeota,class,c__Halobacteria,Root,k__Archaea,p__Euryarchaeota,c__Halobacteria,,,,
o__Halobacteriales,c__Halobacteria,order,o__Halobacteriales,Root,k__Archaea,p__Euryarchaeota,c__Halobacteria,o__Halobacteriales,,,
p__Spirochaetes,k__Bacteria,phylum,p__Spirochaetes,Root,k__Bacteria,p__Spirochaetes,,,,,
c__Spirochaetes,p__Spirochaetes,class,c__Spirochaetes,Root,k__Bacteria,p__Spirochaetes,c__Spirochaetes,,,,
o__Spirochaetales,c__Spirochaetes,order,o__Spirochaetales,Root,k__Bacteria,p__Spirochaetes,c__Spirochaetes,o__Spirochaetales,,,
f__Spirochaetaceae,o__Spirochaetales,family,f__Spirochaetaceae,Root,k__Bacteria,p__Spirochaetes,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,,
g__Treponema,f__Spirochaetaceae,genus,g__Treponema,Root,k__Bacteria,p__Spirochaetes,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,
f__Peptococcaceae,o__Clostridiales,family,f__Peptococcaceae,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,,
g__Desulfotomaculum,f__Peptococcaceae,genus,g__Desulfotomaculum,Root,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptococcaceae,g__Desulfotomaculum,
o__Desulfuromonadales,c__Deltaproteobacteria,order,o__Desulfuromonadales,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,,,
f__Geobacteraceae,o__Desulfuromonadales,family,f__Geobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,,
g__Geobacter,f__Geobacteraceae,genus,g__Geobacter,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,
o__Desulfobacterales,c__Deltaproteobacteria,order,o__Desulfobacterales,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,,,
f__Desulfobulbaceae,o__Desulfobacterales,family,f__Desulfobulbaceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,,
o__NB1-j,c__Deltaproteobacteria,order,o__NB1-j,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__NB1-j,,,
c__vadinHA49,p__Planctomycetes,class,c__vadinHA49,Root,k__Bacteria,p__Planctomycetes,c__vadinHA49,,,,
o__PeHg47,c__vadinHA49,order,o__PeHg47,Root,k__Bacteria,p__Planctomycetes,c__vadinHA49,o__PeHg47,,,
f__Desulfobacteraceae,o__Desulfobacterales,family,f__Desulfobacteraceae,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,,
g__Desulfococcus,f__Desulfobacteraceae,genus,g__Desulfococcus,Root,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfococcus,
c__S085,p__Chloroflexi,class,c__S085,Root,k__Bacteria,p__Chloroflexi,c__S085,,,,
o__Aeromonadales,c__Gammaproteobacteria,order,o__Aeromonadales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,,,
f__Aeromonadaceae,o__Aeromonadales,family,f__Aeromonadaceae,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,,
g__Zobellella,f__Aeromonadaceae,genus,g__Zobellella,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Zobellella,
s__denitrificans,g__Zobellella,species,s__denitrificans,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Zobellella,s__denitrificans
o__Enterobacteriales,c__Gammaproteobacteria,order,o__Enterobacteriales,Root,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,,,
